"ID","Handle","Command","Status","Definition: Handle","Top Row","Field","Value"
"","claim-ashwagandha-stress","MERGE","","evidence_claim","FALSE","notes","<p>Significant reductions in serum cortisol and perceived stress vs. placebo in a 60-day double-blind RCT using a high-concentration root extract. <a href=""https://pubmed.ncbi.nlm.nih.gov/23439798/"" title=""Ashwagandha cortisol and stress RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ashwagandha-anxiety","MERGE","Active","evidence_claim","TRUE","headline","Eases anxiety in healthy adults"
"","claim-ashwagandha-anxiety","MERGE","","evidence_claim","FALSE","notes","<p>Adaptogenic and anxiolytic effects in a randomized study of healthy adults supplementing with KSM-66. <a href=""https://pubmed.ncbi.nlm.nih.gov/32021735/"" title=""Ashwagandha KSM-66 anxiety study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bacopa-memory","MERGE","Active","evidence_claim","TRUE","headline","Sharpens memory"
"","claim-bacopa-memory","MERGE","","evidence_claim","FALSE","notes","<p>Chronic supplementation improved memory consolidation in healthy adults in a 12-week double-blind trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/11498727/"" title=""Bacopa memory consolidation trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bacopa-anxiety","MERGE","Active","evidence_claim","TRUE","headline","Calms an anxious mind"
"","claim-bacopa-anxiety","MERGE","","evidence_claim","FALSE","notes","<p>Improved cognitive performance, anxiety, and depression scores in a placebo-controlled trial in older adults. <a href=""https://pubmed.ncbi.nlm.nih.gov/18611150/"" title=""Bacopa anxiety and cognition trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-citicoline-attention","MERGE","Active","evidence_claim","TRUE","headline","Sharpens attention"
"","claim-citicoline-attention","MERGE","","evidence_claim","FALSE","notes","<p>A 28-day RCT in healthy adolescents reported improved attention and psychomotor speed vs. placebo. <a href=""https://pubmed.ncbi.nlm.nih.gov/26179181/"" title=""Citicoline adolescent attention RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-citicoline-memory","MERGE","Active","evidence_claim","TRUE","headline","Improves verbal memory"
"","claim-citicoline-memory","MERGE","","evidence_claim","FALSE","notes","<p>A randomized trial reported improvements in verbal memory in healthy older adults with relatively inefficient memory. <a href=""https://pubmed.ncbi.nlm.nih.gov/8929152/"" title=""Citicoline verbal memory trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-coluracetam-choline-uptake","MERGE","Active","evidence_claim","TRUE","headline","Enhances choline uptake"
"","claim-coluracetam-choline-uptake","MERGE","","evidence_claim","FALSE","notes","<p>MKC-231 (coluracetam) restored high-affinity choline uptake and improved learning in cholinergically-impaired rats. <a href=""https://pubmed.ncbi.nlm.nih.gov/18461272/"" title=""Coluracetam HACU and learning study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-coluracetam-acetylcholine","MERGE","Active","evidence_claim","TRUE","headline","Supports acetylcholine synthesis"
"","claim-coluracetam-acetylcholine","MERGE","","evidence_claim","FALSE","notes","<p>A companion study reported MKC-231 promoted acetylcholine synthesis and release in animal models of cholinergic deficit. <a href=""https://pubmed.ncbi.nlm.nih.gov/18446264/"" title=""Coluracetam acetylcholine synthesis study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-cordyceps-exercise","MERGE","Active","evidence_claim","TRUE","headline","Boosts exercise tolerance"
"","claim-cordyceps-exercise","MERGE","","evidence_claim","FALSE","notes","<p>Cordyceps militaris supplementation improved tolerance to high-intensity exercise in healthy adults. <a href=""https://pubmed.ncbi.nlm.nih.gov/27465488/"" title=""Cordyceps high-intensity exercise study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-cordyceps-stamina","MERGE","Active","evidence_claim","TRUE","headline","Improves stamina"
"","claim-cordyceps-stamina","MERGE","","evidence_claim","FALSE","notes","<p>A double-blind RCT in older adults reported improvements in metabolic exercise capacity and quality of life. <a href=""https://pubmed.ncbi.nlm.nih.gov/20804368/"" title=""Cordyceps exercise capacity RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-fasoracetam-gaba-b","MERGE","Active","evidence_claim","TRUE","headline","Upregulates GABA-B receptors"
"","claim-fasoracetam-gaba-b","MERGE","","evidence_claim","FALSE","notes","<p>Repeated administration of fasoracetam (NS-105) reversed learned helplessness in rats with effects implicating GABA-B receptor up-regulation. <a href=""https://pubmed.ncbi.nlm.nih.gov/9424016/"" title=""Fasoracetam NS-105 GABA-B up-regulation study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-fasoracetam-mglur-adhd","MERGE","Active","evidence_claim","TRUE","headline","Studied in mGluR-network ADHD"
"","claim-fasoracetam-mglur-adhd","MERGE","","evidence_claim","FALSE","notes","<p>An open-label trial in adolescents with ADHD and mGluR-network gene variants reported reduced ADHD severity scores. <a href=""https://pubmed.ncbi.nlm.nih.gov/29339723/"" title=""Fasoracetam adolescent mGluR ADHD trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-fladrafinil-eugeroic-class","MERGE","Active","evidence_claim","TRUE","headline","Eugeroic-class compound"
"","claim-fladrafinil-eugeroic-class","MERGE","","evidence_claim","FALSE","notes","<p>Fladrafinil is part of the eugeroic (wakefulness-promoting) family of compounds developed at Lafon Laboratories alongside adrafinil and modafinil. <a href=""https://pubmed.ncbi.nlm.nih.gov/16669720/"" title=""Modafinil systematic review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-fladrafinil-bisfluoro-adrafinil","MERGE","Active","evidence_claim","TRUE","headline","Bisfluoro analog of adrafinil"
"","claim-fladrafinil-bisfluoro-adrafinil","MERGE","","evidence_claim","FALSE","notes","<p>Fladrafinil (CRL-40,941) is the bisfluoroadrafinil structural analog of adrafinil, which is itself a prodrug of modafinil. <a href=""https://pubmed.ncbi.nlm.nih.gov/16669720/"" title=""Modafinil family review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-gaba-stress","MERGE","Active","evidence_claim","TRUE","headline","Eases stress"
"","claim-gaba-stress","MERGE","","evidence_claim","FALSE","notes","<p>Oral GABA reduced stress markers and increased relaxation-associated EEG patterns in healthy adults. <a href=""https://pubmed.ncbi.nlm.nih.gov/17012761/"" title=""GABA stress and EEG study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-gaba-sleep","MERGE","Active","evidence_claim","TRUE","headline","Improves sleep onset"
"","claim-gaba-sleep","MERGE","","evidence_claim","FALSE","notes","<p>A randomized double-blind trial reported reduced sleep-onset latency in adults with insomnia symptoms. <a href=""https://pubmed.ncbi.nlm.nih.gov/29754939/"" title=""GABA sleep-onset trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-l-theanine-focus-caffeine","MERGE","Active","evidence_claim","TRUE","headline","Calmer focus with caffeine"
"","claim-l-theanine-focus-caffeine","MERGE","","evidence_claim","FALSE","notes","<p>Combined L-theanine + caffeine improved attention-switching accuracy and reduced susceptibility to distraction. <a href=""https://pubmed.ncbi.nlm.nih.gov/18681988/"" title=""L-theanine and caffeine attention study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-l-theanine-stress","MERGE","Active","evidence_claim","TRUE","headline","Eases stress"
"","claim-l-theanine-stress","MERGE","","evidence_claim","FALSE","notes","<p>A 4-week RCT in healthy adults reported reduced stress-related symptoms and improved cognitive measures. <a href=""https://pubmed.ncbi.nlm.nih.gov/31623400/"" title=""L-theanine stress and cognition RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-lions-mane-cognition","MERGE","Active","evidence_claim","TRUE","headline","Supports cognitive function"
"","claim-lions-mane-cognition","MERGE","","evidence_claim","FALSE","notes","<p>Hericium erinaceus improved cognition scores vs. placebo in adults with mild cognitive impairment over 16 weeks. <a href=""https://pubmed.ncbi.nlm.nih.gov/18844328/"" title=""Lion's Mane cognitive impairment trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-lions-mane-memory","MERGE","Active","evidence_claim","TRUE","headline","Memory in older adults"
"","claim-lions-mane-memory","MERGE","","evidence_claim","FALSE","notes","<p>A 12-week trial in older adults reported improvements in cognitive-function scores after daily oral intake. <a href=""https://pubmed.ncbi.nlm.nih.gov/31413233/"" title=""Lion's Mane older adults cognition trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-magnesium-sleep","MERGE","Active","evidence_claim","TRUE","headline","Improves sleep quality"
"","claim-magnesium-sleep","MERGE","","evidence_claim","FALSE","notes","<p>Magnesium supplementation improved insomnia severity, sleep efficiency, and onset latency in older adults. <a href=""https://pubmed.ncbi.nlm.nih.gov/23853635/"" title=""Magnesium sleep quality trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-magnesium-stress","MERGE","Active","evidence_claim","TRUE","headline","Eases stress & anxiety"
"","claim-magnesium-stress","MERGE","","evidence_claim","FALSE","notes","<p>A systematic review concluded magnesium reduces subjective anxiety and stress in mild anxiety states. <a href=""https://pubmed.ncbi.nlm.nih.gov/28445426/"" title=""Magnesium anxiety systematic review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-melatonin-sleep-onset","MERGE","Active","evidence_claim","TRUE","headline","Falls asleep faster"
"","claim-melatonin-sleep-onset","MERGE","","evidence_claim","FALSE","notes","<p>Meta-analysis of 19 RCTs found melatonin reduced sleep-onset latency and increased total sleep time in primary sleep disorders. <a href=""https://pubmed.ncbi.nlm.nih.gov/23691095/"" title=""Melatonin sleep-onset meta-analysis on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-melatonin-jet-lag","MERGE","Active","evidence_claim","TRUE","headline","Beats jet lag"
"","claim-melatonin-jet-lag","MERGE","","evidence_claim","FALSE","notes","<p>Cochrane review of 10 RCTs concluded melatonin is remarkably effective at preventing or reducing jet lag. <a href=""https://pubmed.ncbi.nlm.nih.gov/12076414/"" title=""Melatonin jet lag Cochrane review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-nalt-focus-stress","MERGE","Active","evidence_claim","TRUE","headline","Focus under stress"
"","claim-nalt-focus-stress","MERGE","","evidence_claim","FALSE","notes","<p>Tyrosine supplementation mitigated working-memory decrements during cold-stress exposure in healthy adults. <a href=""https://pubmed.ncbi.nlm.nih.gov/17585971/"" title=""Tyrosine working memory cold-stress study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-nalt-cognition-demand","MERGE","Active","evidence_claim","TRUE","headline","Cognition under demands"
"","claim-nalt-cognition-demand","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed evidence shows tyrosine supplementation supports cognitive performance under stressors and high cognitive load. <a href=""https://pubmed.ncbi.nlm.nih.gov/26424423/"" title=""Tyrosine cognition under demand review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-noopept-memory","MERGE","Active","evidence_claim","TRUE","headline","Sharpens memory"
"","claim-noopept-memory","MERGE","","evidence_claim","FALSE","notes","<p>Studied as a dipeptide nootropic with neuroprotective effects on memory across multiple cognitive models. <a href=""https://pubmed.ncbi.nlm.nih.gov/17413193/"" title=""Noopept memory study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-noopept-bdnf-ngf","MERGE","Active","evidence_claim","TRUE","headline","Boosts BDNF & NGF"
"","claim-noopept-bdnf-ngf","MERGE","","evidence_claim","FALSE","notes","<p>Increased expression of brain-derived neurotrophic factor and nerve growth factor in the rat hippocampus. <a href=""https://pubmed.ncbi.nlm.nih.gov/19240872/"" title=""Noopept BDNF and NGF study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-phenibut-anxiety","MERGE","Active","evidence_claim","TRUE","headline","Calms anxiety"
"","claim-phenibut-anxiety","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed in CNS literature as a GABA-B-acting tranquilizer with documented anxiolytic effects across clinical and preclinical studies. <a href=""https://pubmed.ncbi.nlm.nih.gov/11830761/"" title=""Phenibut anxiolytic review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-phenibut-sleep","MERGE","Active","evidence_claim","TRUE","headline","Supports restful sleep"
"","claim-phenibut-sleep","MERGE","","evidence_claim","FALSE","notes","<p>Same comprehensive review documents phenibut's sedative and sleep-promoting properties at therapeutic doses. <a href=""https://pubmed.ncbi.nlm.nih.gov/11830761/"" title=""Phenibut sedative properties review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-phenylpiracetam-hydrazide-racetam-family","MERGE","Active","evidence_claim","TRUE","headline","Racetam-family derivative"
"","claim-phenylpiracetam-hydrazide-racetam-family","MERGE","","evidence_claim","FALSE","notes","<p>Phenylpiracetam hydrazide is a carbohydrazide derivative of phenylpiracetam (carphedon), part of the racetam family of pyrrolidone compounds. <a href=""https://pubmed.ncbi.nlm.nih.gov/20166767/"" title=""Piracetam-like drugs review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-piracetam-cognition","MERGE","Active","evidence_claim","TRUE","headline","Supports cognition in aging"
"","claim-piracetam-cognition","MERGE","","evidence_claim","FALSE","notes","<p>Meta-analysis of double-blind RCTs showed clinical benefit for cognitive impairment across global outcome measures. <a href=""https://pubmed.ncbi.nlm.nih.gov/12006732/"" title=""Piracetam cognitive impairment meta-analysis on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-piracetam-energy","MERGE","Active","evidence_claim","TRUE","headline","Improves brain energetics"
"","claim-piracetam-energy","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed pharmacology shows effects on membrane fluidity and mitochondrial function relevant to neuronal energy. <a href=""https://pubmed.ncbi.nlm.nih.gov/16007238/"" title=""Piracetam mitochondrial pharmacology review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-pramiracetam-pyrrolidone","MERGE","Active","evidence_claim","TRUE","headline","Pyrrolidone cognitive enhancer"
"","claim-pramiracetam-pyrrolidone","MERGE","","evidence_claim","FALSE","notes","<p>Pramiracetam (CI-879) facilitated acquisition of a radial-arm maze task in rats, in line with the pyrrolidone class of cognitive enhancers. <a href=""https://pubmed.ncbi.nlm.nih.gov/3088666/"" title=""Pramiracetam radial-arm maze study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-pramiracetam-cholinergic","MERGE","Active","evidence_claim","TRUE","headline","Influences hippocampal cholinergic activity"
"","claim-pramiracetam-cholinergic","MERGE","","evidence_claim","FALSE","notes","<p>Preclinical work reported pramiracetam altered high-affinity choline uptake in rat hippocampal synaptosomes, suggesting a cholinergic mechanism. <a href=""https://pubmed.ncbi.nlm.nih.gov/2987637/"" title=""Pramiracetam hippocampal choline uptake study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-rhodiola-mental-performance","MERGE","Active","evidence_claim","TRUE","headline","Sharper mental performance"
"","claim-rhodiola-mental-performance","MERGE","","evidence_claim","FALSE","notes","<p>SHR-5 extract improved mental performance under stress in a placebo-controlled trial of students during exam-period stress. <a href=""https://pubmed.ncbi.nlm.nih.gov/10839209/"" title=""Rhodiola SHR-5 exam-stress trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-rhodiola-burnout","MERGE","Active","evidence_claim","TRUE","headline","Lifts mild burnout"
"","claim-rhodiola-burnout","MERGE","","evidence_claim","FALSE","notes","<p>A 28-day RCT of SHR-5 in adults with stress-related fatigue reported reductions in burnout-associated symptoms. <a href=""https://pubmed.ncbi.nlm.nih.gov/19016404/"" title=""Rhodiola SHR-5 stress-fatigue RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-sulbutiamine-memory","MERGE","Active","evidence_claim","TRUE","headline","Memory support"
"","claim-sulbutiamine-memory","MERGE","","evidence_claim","FALSE","notes","<p>Chronic sulbutiamine improved performance in an object-recognition memory task in rats. <a href=""https://pubmed.ncbi.nlm.nih.gov/16087294/"" title=""Sulbutiamine object-recognition memory study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-sulbutiamine-fatigue","MERGE","Active","evidence_claim","TRUE","headline","Reduces mental fatigue"
"","claim-sulbutiamine-fatigue","MERGE","","evidence_claim","FALSE","notes","<p>Studied in infection-associated asthenia as a thiamine derivative supporting recovery from fatigue. <a href=""https://pubmed.ncbi.nlm.nih.gov/14710977/"" title=""Sulbutiamine infection-associated asthenia trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-taurine-endurance","MERGE","Active","evidence_claim","TRUE","headline","Boosts endurance"
"","claim-taurine-endurance","MERGE","","evidence_claim","FALSE","notes","<p>A meta-analysis of human RCTs showed acute taurine supplementation improved endurance-exercise performance. <a href=""https://pubmed.ncbi.nlm.nih.gov/29546641/"" title=""Taurine endurance meta-analysis on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-taurine-heart","MERGE","Active","evidence_claim","TRUE","headline","Supports heart function"
"","claim-taurine-heart","MERGE","","evidence_claim","FALSE","notes","<p>Taurine supplementation improved exercise capacity in patients with heart failure in a controlled trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/21208077/"" title=""Taurine heart failure exercise trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tongkat-ali-stress","MERGE","Active","evidence_claim","TRUE","headline","Lowers stress & balances mood"
"","claim-tongkat-ali-stress","MERGE","","evidence_claim","FALSE","notes","<p>Reduced cortisol and improved tension/anger/confusion scores in moderately stressed adults over 4 weeks. <a href=""https://pubmed.ncbi.nlm.nih.gov/23705671/"" title=""Tongkat Ali stress and cortisol trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tongkat-ali-vitality","MERGE","Active","evidence_claim","TRUE","headline","Supports vitality"
"","claim-tongkat-ali-vitality","MERGE","","evidence_claim","FALSE","notes","<p>A 5-week supplementation trial in active seniors reported improved muscular force and well-being. <a href=""https://pubmed.ncbi.nlm.nih.gov/23754792/"" title=""Tongkat Ali vitality study on PubMed"" target=""_blank"">[PubMed]</a></p>"
